"","species","filo_samps","hnv_samps","total_samps","filo_positive","hnv_positive","positive","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"524","murina leucogaster",0,0,0,NA,NA,NA,"murina leucogaster","Murina_leucogaster",FALSE,"434674",FALSE,"","1",0,"Asia","Murina_leucogaster",NA,NA,NA
"525","murina puta",0,0,0,NA,NA,NA,"murina puta","Murina_puta",FALSE,"434682",FALSE,"","1",0,"Asia","Murina_puta",NA,NA,NA
"526","murina rozendaali",0,0,0,NA,NA,NA,"murina rozendaali","Murina_rozendaali",FALSE,"505794",FALSE,"","1",0,"Asia","Murina_rozendaali",NA,NA,NA
"527","murina ryukyuana",0,0,0,NA,NA,NA,"murina ryukyuana","Murina_ryukyuana",FALSE,"3613778",FALSE,"","1",0,"Asia","Murina_ryukyuana",NA,NA,NA
"528","murina silvatica",0,0,0,NA,NA,NA,"murina silvatica","Murina_silvatica",FALSE,"3613779",FALSE,"","1",0,"Asia","Murina_silvatica",NA,NA,NA
"529","murina suilla",0,0,0,NA,NA,NA,"murina suilla","Murina_suilla",FALSE,"190903",FALSE,"","1",0,"Asia","Murina_suilla",NA,NA,NA
"530","murina tenebrosa",0,0,0,NA,NA,NA,"murina tenebrosa","Murina_tenebrosa",FALSE,"3613773",FALSE,"","1",0,"Asia","Murina_tenebrosa",NA,NA,NA
"531","murina tubinaris",0,0,0,NA,NA,NA,"murina tubinaris","Murina_tubinaris",FALSE,"233915",FALSE,"","1",0,"Asia","Murina_tubinaris",NA,NA,NA
"532","murina ussuriensis",0,0,0,NA,NA,NA,"murina ussuriensis","Murina_ussuriensis",FALSE,"259900",FALSE,"","1",0,"Europe","Murina_ussuriensis",NA,NA,NA
"533","musonycteris harrisoni",0,0,0,NA,NA,NA,"musonycteris harrisoni","Musonycteris_harrisoni",FALSE,"658353",FALSE,"","1",0,"LA","Musonycteris_harrisoni",NA,NA,NA
"534","myonycteris brachycephala",0,0,0,NA,NA,NA,"myonycteris brachycephala","Myonycteris_brachycephala",FALSE,"558427",FALSE,"","1",0,"Africa","Myonycteris_brachycephala",NA,NA,NA
"535","myonycteris relicta",0,0,0,NA,NA,NA,"myonycteris relicta","Myonycteris_relicta",FALSE,"192015",FALSE,"","1",0,"Africa","Myonycteris_relicta",NA,NA,NA
